"原始错误码或精确诊断","原始来源与原文","中文解释","英文解释","解决方向","真实原因判定","按钮约束"
"ZEUS_IM_REQUEST_STALE","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":929,""value"":""输入请求已过期、已处理或不能通过 Telegram 回答。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":933,""value"":""输入问题已变化或包含敏感信息。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1062,""value"":""请求已过期、已处理或 revision 已变化。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1083,""value"":""该输入请求不能通过 Telegram 回答。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1087,""value"":""目标问题已变化或包含敏感信息。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1101,""value"":""目标选项已变化。""}]","这个请求已变化、已处理或无法通过 Telegram 回答。请在 Zeus 桌面端查看最新请求。","This request has changed, was already handled, or cannot be answered through Telegram. Check the latest request in the Zeus desktop app.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_REQUEST_INVALID","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":931,""value"":""输入请求结构已变化，请回到桌面端处理。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1085,""value"":""输入请求结构已变化，请回到桌面端处理。""}]","Telegram 无法显示这个问题，请在 Zeus 桌面端回答。","Telegram cannot display this question. Answer it in the Zeus desktop app.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_PRIVATE_CHAT_REQUIRED","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":721,""value"":""请只在该 Bot 的一对一私聊中完成配对。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":761,""value"":""该 Bot 只接受已绑定用户的一对一私聊。""}]","请使用已配对账号与机器人进行一对一私聊，群聊不受支持。","Use a one-to-one private chat with the bot from the paired account. Group chats are not supported.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_PROJECT_NOT_FOUND","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":249,""value"":""所选 Zeus 项目不存在或不可用。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":947,""value"":""绑定项目已经不存在。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1815,""value"":""绑定项目不存在。""}]","机器人绑定的项目已不可用。请在 Zeus 桌面端检查项目并重新配置连接。","The project linked to the bot is unavailable. Check the project and configure the connection again in the Zeus desktop app.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_REMOTE_APPROVAL_DISABLED","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1064,""value"":""远程审批已经关闭。""}]","远程授权已关闭，请在 Zeus 桌面端处理操作请求。","Remote approvals are disabled. Handle action requests in the Zeus desktop app.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_COMMAND_UNSUPPORTED","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1470,""value"":""不支持该任务命令。发送 /task 查看用法。""}]","无法识别此任务命令。发送 /task 查看用法。","This task command is not recognized. Send /task to see usage instructions.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_CONVERSATION_MISMATCH","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1526,""value"":""当前会话不属于该任务。请从任务详情选择“处理此任务”，再选择新建或该任务自己的历史会话。""}]","所选对话不可用或不属于此任务。请重新打开任务，选择“处理此任务”。","The selected conversation is unavailable or belongs to another task. Reopen the task and select Work on this task.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_CONVERSATION_UNAVAILABLE","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1542,""value"":""所选会话已不可用或不属于该任务，请重新打开任务后选择。""}]","所选对话不可用或不属于此任务。请重新打开任务，选择“处理此任务”。","The selected conversation is unavailable or belongs to another task. Reopen the task and select Work on this task.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_EDIT_VALUE_REQUIRED","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1484,""value"":""任务编辑内容不能为空。""}]","任务修改内容不能为空，请填写新的标题或描述。","Task edits cannot be empty. Enter the new title or description.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_NOT_FOUND","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1174,""value"":""该任务已不存在或不属于绑定项目。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1474,""value"":""未在绑定项目中找到该任务。""}]","在机器人绑定的项目中找不到此任务。请打开任务列表重新选择。","This task could not be found in the bot’s project. Open the task list and select again.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_PAGE_INVALID","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1454,""value"":""用法：/tasks [页码]""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1936,""value"":""页码必须是从 1 开始的整数。用法：/tasks [页码]""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1938,""value"":""任务页码过大。""}]","页码必须是有效的正整数。请使用 /tasks 加页码，例如 /tasks 1。","Use a valid positive page number after /tasks, for example /tasks 1.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_STALE","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":909,""value"":""任务已发生变化，本次编辑未提交。请重新打开任务后再试。""}]","任务已被更新，本次修改未执行。请重新打开任务后修改。","The task has changed, so this edit was not applied. Reopen the task before editing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_STATUS_REQUIRED","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1492,""value"":""用法：/task status <任务> <项目状态>""}]","请填写任务和目标状态，例如 /task status 任务编号 状态。","Enter the task and target status, for example /task status task-code status.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_TERMINAL_STATUS_DESKTOP_REQUIRED","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1207,""value"":""完成或取消任务可能清理会话与工作区，请回到 Zeus 桌面端处理。""}]","完成或取消任务可能停止对话并清理工作目录，请在 Zeus 桌面端确认。","Completing or cancelling a task may stop conversations and clean up working folders. Confirm this in the Zeus desktop app.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_TITLE_REQUIRED","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1462,""value"":""用法：/task create <标题>""}]","请在 /task create 后填写任务标题。","Enter a task title after /task create.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TOKEN_FORMAT_INVALID","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":257,""value"":""BotFather Token 格式无效。""}]","机器人密钥格式不正确，请复制 BotFather 提供的完整密钥。","The bot token format is invalid. Copy the complete token provided by BotFather.","settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TOKEN_MISSING","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":285,""value"":""该连接的 Keychain Token 已不存在，请移除后重新接入。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":305,""value"":""该连接的 Keychain Token 已不存在。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1578,""value"":""连接 Token 已不存在，无法下载附件。""}]","机器人密钥不可用。请在 Zeus 桌面端的机器人设置中填写 BotFather 提供的密钥。","The bot token is unavailable. Enter the token provided by BotFather in the Zeus desktop app’s bot settings.","settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TOKEN_REQUIRED","[{""file"":""packages/local-server/src/imConnectionRoutes.ts"",""line"":38,""value"":""请输入 BotFather Token。""},{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":256,""value"":""请输入 BotFather Token。""}]","机器人密钥不可用。请在 Zeus 桌面端的机器人设置中填写 BotFather 提供的密钥。","The bot token is unavailable. Enter the token provided by BotFather in the Zeus desktop app’s bot settings.","settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_COMPUTER_APP_NOT_RUNNING","[]","目标应用没有运行。请先打开应用，再让 AI 继续操作。","The target app is not running. Open it before asking the AI to continue.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_COMPUTER_ACCESSIBILITY_PERMISSION_REQUIRED","[]","尚未授予 Zeus 辅助功能权限。请在 macOS“系统设置 → 隐私与安全性 → 辅助功能”中允许访问。","Zeus has not been granted Accessibility permission. Allow it in macOS System Settings → Privacy & Security → Accessibility.","settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_COMPUTER_SCREEN_LOCKED","[]","电脑已锁定或当前桌面不可用，AI 暂时不能操作应用。解锁并返回桌面后再继续。","The computer is locked or the desktop is unavailable. Unlock it and return to the desktop before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_COMPUTER_ELEMENT_STALE","[]","目标应用的内容已变化。需要重新读取页面后才能操作。","The target app’s content has changed. It must be read again before the action can continue.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_COMPUTER_SELF_CONTROL_BLOCKED","[]","AI 不能代替你操作 Zeus 的授权窗口。请由你直接确认或拒绝。","The AI cannot operate Zeus approval windows on your behalf. Approve or decline the request yourself.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_COMPUTER_ZEUS_CONTROL_BLOCKED","[]","AI 不能代替你操作 Zeus 的授权窗口。请由你直接确认或拒绝。","The AI cannot operate Zeus approval windows on your behalf. Approve or decline the request yourself.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_RECOVERED_UNSENT_CONFIRMATION_REQUIRED","[{""file"":""packages/local-server/src/codexNativeConversationCoordinator.ts"",""line"":1031,""value"":""恢复后有多条尚未发送的消息，请先逐条重试或取消。""}]","恢复对话时发现这条消息尚未发送，请选择发送或取消。","This message was not sent before the conversation was restored. Choose to send or cancel it.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CODEX_LOGIN_REQUIRED","[{""file"":""packages/local-server/src/codexNativeConversationCoordinator.ts"",""line"":864,""value"":""Zeus 专属 Codex 尚未登录。请先完成登录，再创建会话。""},{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":177,""value"":""Zeus 专属 Codex 尚未登录。请先完成登录，再创建会话。""}]","尚未登录 Codex，无法使用该服务。请在“设置 → AI 连接”中登录。","Codex is not signed in. Sign in under Settings → AI connections to use this service.","sign_in","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CODEX_PROVIDER_CREDENTIAL_UNAVAILABLE","[{""file"":""packages/ai-runtime/src/codexAppServerManager.ts"",""line"":1295,""value"":""Responses 自定义 Provider 的进程凭据不可用。""},{""file"":""packages/local-server/src/index.ts"",""line"":1595,""value"":""DeepSeek 官方 Responses 会话缺少可用的连接或 API Key。""}]","AI 服务的登录信息或 API 密钥不可用。请检查对应的模型连接设置。","The AI service credentials or API key are unavailable. Check the model connection settings.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_CONNECTION_CREDENTIAL_UNAVAILABLE","[]","AI 服务的登录信息或 API 密钥不可用。请检查对应的模型连接设置。","The AI service credentials or API key are unavailable. Check the model connection settings.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_CONNECTION_API_KEY_REQUIRED","[]","AI 服务的登录信息或 API 密钥不可用。请检查对应的模型连接设置。","The AI service credentials or API key are unavailable. Check the model connection settings.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CODEX_MODEL_AT_CAPACITY","[]","所选模型目前繁忙，无法处理这次请求。可以切换模型，或稍后再试。","The selected model is busy and cannot handle this request. Choose another model or try again later.","choose_model","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"serverOverloaded","[]","所选模型目前繁忙，无法处理这次请求。可以切换模型，或稍后再试。","The selected model is busy and cannot handle this request. Choose another model or try again later.","choose_model","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CONTEXT_MODEL_WINDOW_UNAVAILABLE","[{""file"":""packages/local-server/src/index.ts"",""line"":1052,""value"":""Codex 当前运行世代没有可核验的模型窗口；消息尚未发送。请先重新连接 Codex，再逐条重试。""},{""file"":""packages/local-server/src/index.ts"",""line"":1090,""value"":""Provider 没有可核验的上下文窗口，已拒绝注入未受预算约束的上下文。""}]","Zeus 未能读取所选模型的使用限制，暂时无法向它发送请求。请重新连接 Codex。","Zeus could not read the selected model’s limits and cannot send the request yet. Reconnect Codex.","settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_NOT_READY","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2130,""value"":""目标模型已经不在连接目录中。""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":3062,""value"":""旧会话引用需要可用的 Codex App Server 模型。""}]","所选模型的连接已更改或不可用。请检查模型设置并重新选择可用模型。","The selected model connection has changed or is unavailable. Check its settings and select an available model.","choose_model","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_CONNECTION_NOT_FOUND","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":1082,""value"":""目标模型连接已经不存在。""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2128,""value"":""目标模型连接已经不存在。""},{""file"":""packages/local-server/src/modelConnectionService.ts"",""line"":95,""value"":""模型连接不存在。""}]","所选模型的连接已更改或不可用。请检查模型设置并重新选择可用模型。","The selected model connection has changed or is unavailable. Check its settings and select an available model.","choose_model","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CONVERSATION_ROUTE_CHANGED","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2133,""value"":""目标模型的运行适配器与已选择路由不一致。""}]","所选模型的连接已更改或不可用。请检查模型设置并重新选择可用模型。","The selected model connection has changed or is unavailable. Check its settings and select an available model.","choose_model","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_LOCAL_API_READ_TIMEOUT","[]","Zeus 的后台服务未能及时响应，当前信息暂时无法读取。","The Zeus background service did not respond in time. This information cannot be loaded yet.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CODEX_RPC_TIMEOUT","[{""file"":""packages/ai-runtime/src/codexAppServerManager.ts"",""line"":859,""value"":""Codex app-server request timed out: ${method}""}]","Codex 未能在限定时间内响应，Zeus 暂时无法确认请求的处理情况。","Codex did not respond in time. Zeus cannot yet confirm the request’s progress.","check","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_EXECUTION_HOST_DRAINING","[]","Zeus 正在重启后台服务，暂时无法处理新的操作。","Zeus is restarting its background service and cannot handle new actions yet.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_STORAGE_READ_ONLY_FAULT","[]","Zeus 的本地数据发生读写错误，已暂停修改以保护现有数据。请使用页面上的数据恢复入口。","Zeus encountered a local data error and paused changes to protect existing data. Use the data recovery action on this page.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CONVERSATION_ARCHIVE_PENDING_MESSAGES","[]","还有消息等待处理，因此暂时不能归档。请先处理或取消这些消息。","Messages are still waiting to be processed. Finish or cancel them before archiving.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CONVERSATION_ARCHIVE_PENDING_REQUEST","[]","AI 正在等待你的回答或授权，因此暂时不能归档。请先处理会话中的问题。","The AI is waiting for your answer or approval. Resolve the request in the conversation before archiving.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CONVERSATION_ARCHIVE_ACTIVE","[]","AI 仍在处理这段对话，因此暂时不能归档。请等待处理结束，或先停止当前处理。","The AI is still working on this conversation. Wait for it to finish or stop the current work before archiving.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_NATIVE_CONVERSATION_IN_PROGRESS","[{""file"":""packages/local-server/src/codexNativeConversationCoordinator.ts"",""line"":1961,""value"":""The conversation still has an active turn, queued message, or pending request and cannot be archived.""},{""file"":""packages/local-server/src/piNativeConversationCoordinator.ts"",""line"":1960,""value"":""The conversation still has an active turn, queued message, or pending request and cannot be archived.""}]","会话中仍有未结束的处理，暂时不能归档。请查看会话中的处理状态。","This conversation still has unfinished work and cannot be archived yet. Check its current status.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CONVERSATION_NOT_FOUND","[{""file"":""packages/local-server/src/codexSubagentQueryApplication.ts"",""line"":64,""value"":""Conversation not found""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":761,""value"":""会话不存在。""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":947,""value"":""Conversation not found""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2510,""value"":""要继续的任务会话不存在或不属于当前任务。""},{""file"":""packages/local-server/src/conversationCommandRoutes.ts"",""line"":366,""value"":""Conversation not found""},{""file"":""packages/local-server/src/conversationCommandRoutes.ts"",""line"":397,""value"":""Conversation not found""},{""file"":""packages/local-server/src/localServerPlatformRoutes.ts"",""line"":1547,""value"":""Conversation not found.""},{""file"":""packages/local-server/src/workManagementCoreOperations.ts"",""line"":242,""value"":""Conversation not found""}]","找不到这段会话。它可能已被移除，请返回会话列表确认。","This conversation could not be found. It may have been removed; check the conversation list.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_NATIVE_CONVERSATION_NOT_FOUND","[{""file"":""packages/local-server/src/codexNativeConversationAccess.ts"",""line"":8,""value"":""Native product conversation was not found.""},{""file"":""packages/local-server/src/codexNativeConversationAccess.ts"",""line"":15,""value"":""Codex native conversation was not found.""},{""file"":""packages/local-server/src/codexNativeDispatchPipeline.ts"",""line"":173,""value"":""Native conversation was not found.""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":933,""value"":""Native conversation not found""},{""file"":""packages/local-server/src/conversationCommandRoutes.ts"",""line"":277,""value"":""Native conversation not found""},{""file"":""packages/local-server/src/conversationCommandRoutes.ts"",""line"":298,""value"":""Native conversation not found""},{""file"":""packages/local-server/src/conversationCommandRoutes.ts"",""line"":404,""value"":""Native conversation not found""}]","找不到这段会话。它可能已被移除，请返回会话列表确认。","This conversation could not be found. It may have been removed; check the conversation list.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PROJECT_NOT_FOUND","[{""file"":""apps/desktop/src/main/projectGitWorkbench.ts"",""line"":103,""value"":""项目不存在或项目目录不可用。""},{""file"":""packages/local-server/src/codeIntelligenceQueryApplication.ts"",""line"":154,""value"":""Project not found""},{""file"":""packages/local-server/src/commandCenter.ts"",""line"":984,""value"":""Project not found""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":945,""value"":""Project not found""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":1062,""value"":""Project not found""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":1167,""value"":""Conversation project not found.""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":1207,""value"":""Conversation project was not found.""},{""file"":""packages/local-server/src/conversationCapabilityQueryApplication.ts"",""line"":343,""value"":""Project not found""},{""file"":""packages/local-server/src/conversationCommandRoutes.ts"",""line"":391,""value"":""Project not found""},{""file"":""packages/local-server/src/digitalEmployeeRoutes.ts"",""line"":905,""value"":""项目不存在。""},{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":363,""value"":""Project not found""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":888,""value"":""Project not found""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":911,""value"":""Project not found""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":945,""value"":""Project not found""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1027,""value"":""Project not found""},{""file"":""packages/local-server/src/index.ts"",""line"":1770,""value"":""Conversation project was not found.""},{""file"":""packages/local-server/src/localServerPlatformRoutes.ts"",""line"":1238,""value"":""Project not found""},{""file"":""packages/local-server/src/localServerPlatformRoutes.ts"",""line"":1254,""value"":""Project not found""},{""file"":""packages/local-server/src/localServerPlatformRoutes.ts"",""line"":1264,""value"":""Project not found""},{""file"":""packages/local-server/src/localServerPlatformRoutes.ts"",""line"":1300,""value"":""Project not found""},{""file"":""packages/local-server/src/localServerPlatformRoutes.ts"",""line"":2721,""value"":""Project not found""},{""file"":""packages/local-server/src/projectGitQueryApplication.ts"",""line"":94,""value"":""Project not found""},{""file"":""packages/local-server/src/projectQueryApplication.ts"",""line"":80,""value"":""Project not found""},{""file"":""packages/local-server/src/runtimeSessionCommandRoutes.ts"",""line"":616,""value"":""Runtime session project not found""},{""file"":""packages/local-server/src/runtimeSessionCommandRoutes.ts"",""line"":717,""value"":""Project not found""},{""file"":""packages/local-server/src/runtimeSessionCommandRoutes.ts"",""line"":737,""value"":""Project not found""},{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":463,""value"":""项目不存在。""},{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":687,""value"":""项目不存在。""},{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":1350,""value"":""项目不存在。""},{""file"":""packages/local-server/src/workManagementCoreOperations.ts"",""line"":379,""value"":""Project not found""},{""file"":""packages/local-server/src/workManagementProjectOperations.ts"",""line"":131,""value"":""Project not found""},{""file"":""packages/local-server/src/workManagementQueryApplication.ts"",""line"":33,""value"":""Project not found""},{""file"":""packages/local-server/src/workManagementTaskOperations.ts"",""line"":656,""value"":""Project not found""},{""file"":""packages/local-server/src/zeusPluginRoutes.ts"",""line"":257,""value"":""项目不存在。""}]","找不到对应项目。请返回项目列表确认项目是否仍然存在。","The project could not be found. Check whether it is still available in the project list.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_NATIVE_QUEUE_PROVIDER_ARCHIVED","[{""file"":""packages/local-server/src/codexNativeConversationCoordinator.ts"",""line"":1837,""value"":""The provider conversation must be restored explicitly before its queue can be recovered.""}]","这段会话已归档，需要先恢复会话才能继续。","This conversation is archived. Restore it before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_NATIVE_SUBMISSION_NOT_EDITABLE","[{""file"":""packages/local-server/src/conversationQueueCoreMutationApplication.ts"",""line"":32,""value"":""Only queued, paused, or failed submissions can be edited.""},{""file"":""packages/local-server/src/conversationQueueCoreMutationApplication.ts"",""line"":36,""value"":""Structured internal submissions cannot be edited as plain text.""},{""file"":""packages/local-server/src/conversationQueueCoreMutationApplication.ts"",""line"":76,""value"":""Submissions that already entered a Provider turn cannot be deleted.""},{""file"":""packages/local-server/src/conversationQueueCoreMutationApplication.ts"",""line"":79,""value"":""Only queued, paused, or failed submissions can be deleted.""}]","这条消息的处理状态已变化，当前不能执行该操作。请查看最新消息状态。","The message’s processing state has changed, so this action is no longer available. Check its latest status.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_NATIVE_SUBMISSION_NOT_RETRYABLE","[{""file"":""packages/local-server/src/conversationQueueCoreMutationApplication.ts"",""line"":103,""value"":""只有 Provider 写入前失败且未产生 turn 的队首可以重试。""}]","这条消息的处理状态已变化，当前不能执行该操作。请查看最新消息状态。","The message’s processing state has changed, so this action is no longer available. Check its latest status.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
